Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Arithmetic,1,46,18,9,0,5,0,23,126,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\AsyncPair,1,11,9,4,0,2,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\BiFoldable,2,246,95,41,12,14,0,137,881,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\BiFoldableAsync,2,569,145,61,12,32,0,392,2693,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\BiFunctor,2,107,37,17,0,7,0,63,373,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\BiFunctorAsync,1,159,31,15,0,10,0,118,718,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Bool,1,71,26,13,0,9,0,36,192,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Choice,2,408,222,63,4,36,0,150,929,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\ChoiceAsync,2,490,258,79,5,51,0,181,1118,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\ChoiceUnsafe,2,376,202,60,4,33,0,141,896,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\ChoiceUnsafeAsync,2,459,228,67,3,46,0,185,1095,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Const,1,15,9,4,0,2,0,4,11,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Eq,3,290,114,41,1,28,0,148,864,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\EqAsync,2,65,31,16,0,6,0,28,147,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Floating,2,349,110,45,0,38,0,201,1046,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Foldable,2,284,112,45,11,23,0,149,876,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\FoldableAsync,2,383,133,55,13,29,0,221,1363,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Fraction,3,59,33,15,0,6,0,20,104,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Functor,2,55,27,14,0,4,0,24,115,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\FunctorAsync,2,73,33,17,0,5,0,35,173,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Liftable,1,23,11,5,0,2,0,10,37,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Monad,2,433,148,44,2,29,0,256,1583,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\MonadAsync,2,608,278,59,6,46,0,284,1617,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\MonadRWS,1,63,23,11,0,7,0,33,184,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\MonadReader,1,37,16,8,0,4,0,17,81,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\MonadState,1,38,16,8,0,4,0,18,91,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\MonadTrans,2,86,68,27,0,18,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\MonadTransAsync,4,180,140,61,0,40,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\MonadWriter,1,32,15,7,0,3,0,14,79,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Monoid,2,56,29,13,0,7,0,20,76,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Num,2,184,64,26,0,20,0,100,521,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Optional,2,239,119,39,0,27,0,93,549,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\OptionalAsync,2,407,186,57,0,44,0,177,1092,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\OptionalUnsafe,2,200,96,36,0,23,0,81,511,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\OptionalUnsafeAsync,2,487,225,58,0,52,0,210,1410,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Ord,2,333,106,33,2,25,0,202,1101,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Predicate,1,23,11,5,0,2,0,10,41,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Ratio,1,30,14,8,0,4,0,12,49,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\Semigroup,2,224,103,28,2,19,0,102,547,0,0
I:\dev\language-ext\LanguageExt.Core\TypeClasses\TriFunctor,2,116,37,17,0,7,0,72,424,0,0
I:\dev\language-ext\LanguageExt.Core\Utility,7,1709,1246,643,194,209,8,254,1333,0,0
I:\dev\language-ext\LanguageExt.Core\Utility\ExceptionMatch,3,381,194,74,24,27,0,160,722,0,0
I:\dev\language-ext\LanguageExt.Core\obj,8,196,104,16,0,32,0,60,184,56,160
I:\dev\language-ext\LanguageExt.Core\obj\Debug,4,112,52,8,0,20,0,40,144,36,120
I:\dev\language-ext\LanguageExt.Core\obj\Debug\net45,1,28,13,2,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.Core\obj\Debug\net451,1,28,13,2,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.Core\obj\Debug\netstandard1.3,1,28,13,2,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.Core\obj\Debug\netstandard2.0,1,28,13,2,0,5,0,10,36,9,30
I:\dev\language-ext\LanguageExt.Core\obj\Release,4,84,52,8,0,12,0,20,40,20,40
I:\dev\language-ext\LanguageExt.Core\obj\Release\net45,1,21,13,2,0,3,0,5,10,5,10
I:\dev\language-ext\LanguageExt.Core\obj\Release\net451,1,21,13,2,0,3,0,5,10,5,10
I:\dev\language-ext\LanguageExt.Core\obj\Release\netstandard1.3,1,21,13,2,0,3,0,5,10,5,10
I:\dev\language-ext\LanguageExt.Core\obj\Release\netstandard2.0,1,21,13,2,0,3,0,5,10,5,10
I:\dev\language-ext\LanguageExt.FSharp,9,285,142,35,2,46,0,97,354,56,160
I:\dev\language-ext\LanguageExt.FSharp\obj,8,188,96,16,0,32,0,60,184,56,160
I:\dev\language-ext\LanguageExt.FSharp\obj\Debug,4,108,48,8,0,20,0,40,144,36,120
I:\dev\language-ext\LanguageExt.FSharp\obj\Debug\net45,1,27,12,2,0,5,0,10,36,9,30
