File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monoid\Product.cs,24,16,8,0,4,0,4,20,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Monoid\Sum.cs,24,16,8,0,4,0,4,20,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdArr.cs,104,49,23,5,9,0,46,226,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdArray.cs,108,52,26,8,10,0,46,226,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdBigInt.cs,49,19,9,0,5,0,25,115,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdBool.cs,48,18,8,0,5,0,25,115,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdChar.cs,48,18,8,0,5,0,25,115,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdChoice.cs,153,67,21,0,14,0,72,393,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdChoiceUnsafe.cs,157,71,21,0,14,0,72,393,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdDateTime.cs,49,19,9,0,5,0,25,115,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdDecimal.cs,48,18,8,0,5,0,25,115,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdDefault.cs,62,36,16,2,9,0,17,105,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdDouble.cs,48,18,8,0,5,0,25,115,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdEnumerable.cs,111,52,30,8,13,0,46,226,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdFloat.cs,48,18,8,0,5,0,25,115,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdGuid.cs,49,19,9,0,5,0,25,115,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdInt.cs,48,18,8,0,5,0,25,115,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdLong.cs,48,18,8,0,5,0,25,115,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdLst.cs,107,51,25,5,10,0,46,226,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdMap.cs,85,32,13,0,7,0,46,226,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdNewType.cs,146,61,27,8,13,0,72,369,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdNumType.cs,104,47,22,8,9,0,48,246,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdOption.cs,30,23,10,0,7,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdOptional.cs,112,49,22,4,11,0,52,250,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdOptionalUnsafe.cs,112,49,22,4,11,0,52,250,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdOptionUnsafe.cs,30,23,10,0,7,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdQue.cs,110,54,28,5,10,0,46,226,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdRecord.cs,22,14,7,0,4,0,4,16,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdResult.cs,55,48,25,14,7,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdSeq.cs,111,52,30,8,13,0,46,226,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdSet.cs,89,34,15,0,9,0,46,226,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdShort.cs,48,18,8,0,5,0,25,115,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdStck.cs,110,54,28,5,10,0,46,226,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdString.cs,191,55,29,0,21,0,115,570,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdTask.cs,18,14,7,0,4,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdTupleFirst.cs,22,14,7,0,4,0,4,26,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Ord\OrdTypeInfo.cs,18,14,7,0,4,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Pred\Boolean.cs,26,15,7,0,3,0,8,28,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Pred\Equality.cs,22,19,11,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Pred\Exists.cs,95,58,15,0,10,0,27,108,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Pred\ForAll.cs,95,56,15,0,9,0,30,120,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Pred\Ordering.cs,55,46,20,0,9,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Pred\Range.cs,18,15,6,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Pred\Char\Predicates.cs,66,53,22,0,13,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Pred\Lst\AnySize.cs,16,13,7,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Pred\Lst\CountRange.cs,18,15,7,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Pred\Lst\MaxCount.cs,17,14,7,0,3,0,0,0,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Pred\Lst\NonEmpty.cs,17,12,7,0,2,0,3,9,0,0
I:\dev\language-ext\LanguageExt.Core\ClassInstances\Pred\Lst\NonNullItems.cs,14,12,7,0,2,0,0,0,0,0
